INDEX,CUSTOMER_ID,PROD_ECOLOGICAL,PROD_MEAT_SUBST,PROD_FAIRTRADE,PROD_REFORM,GREEN_ENERGY,FREQUENTING_NATURE,ENVIR_CHARITY,NATURE_CHARITY,AGE_GROUP,INCOME_LEVEL,EDUCATION,TOTAL_USAGE_YEAR1,TOTAL_USAGE_YEAR2,ENERGY_SAVING,COST_TO_SERVE,NUMBER_OF_QUESTIONS_ANSWERED_YES,NUMBER_OF_QUESTIONS_ANSWERED_CAT,LIFESTYLE_CLUSTER,ENGAGEMENT_CLUSTER,HAS_EV,HAS_PV,RATE_ID,RATE_DESCRIPTION,OFFER_ID,OFFER_DESC
16,17,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,6082.038708,5618.138942,-7.627372798,67.335733,0,ONE OR LESS,1,OTHER,0,1,10,Peak/Off-Peak 9kW,NONE,
17,18,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,10063.74241,13430.37471,33.45308497,138.30552,0,ONE OR LESS,1,CLUSTER3,0,0,14,Fixed Price 12kW,NONE,
18,19,0,1,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,7881.89266,7675.007201,-2.624819544,99.622929,2,TWO OR THREE,1,OTHER,0,0,8,Fixed Price 3kW,NONE,
19,20,0,0,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,3941.508567,3957.58862,0.407966968,46.911727,1,ONE OR LESS,1,OTHER,0,0,2,Peak/Off-Peak 24kW,NONE,
20,21,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,11764.83235,9185.920203,-21.92051761,160.511203,0,ONE OR LESS,1,CLUSTER6,1,0,10,Peak/Off-Peak 9kW,NONE,
21,22,0,1,0,0,1,1,0,0,<20,55000-75000,Less than 9th grade,9301.283436,7953.469329,-14.49062504,125.832602,3,TWO OR THREE,1,CLUSTER4,0,0,15,Fixed Price 24kW,NONE,
22,23,0,0,0,0,1,0,0,0,<20,40000-55000,Less than 9th grade,11984.76663,10288.5015,-14.15350989,162.813859,1,ONE OR LESS,1,CLUSTER6,0,0,11,Fixed Price 36kW,NONE,
23,24,0,0,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,7448.723147,8883.269217,19.25895273,91.346732,1,ONE OR LESS,1,CLUSTER3,0,0,4,Fixed Price 30kW,NONE,
24,25,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,7971.705107,6690.417768,-16.0729395,101.342343,0,ONE OR LESS,1,CLUSTER4,0,0,11,Fixed Price 36kW,NONE,
25,26,0,0,0,1,1,0,0,0,<20,55000-75000,Less than 9th grade,10294.39458,12294.41028,19.42820128,141.78203,2,TWO OR THREE,1,CLUSTER3,0,0,15,Fixed Price 24kW,NONE,
26,27,0,0,0,1,1,0,0,0,<20,55000-75000,Less than 9th grade,10653.25071,6529.850002,-38.7055634,146.901281,2,TWO OR THREE,1,CLUSTER4,0,0,13,Peak/Off-Peak 18kW,NONE,
27,28,0,0,1,0,1,0,0,0,<20,40000-55000,Less than 9th grade,14665.09632,13996.72843,-4.557541767,182.322729,2,TWO OR THREE,1,CLUSTER1,0,1,6,Peak/Off-Peak 15kW,NONE,
28,29,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,8486.610612,6976.909242,-17.78921455,111.110985,0,ONE OR LESS,1,CLUSTER4,0,0,16,Peak/Off-Peak 12kW,NONE,
29,30,0,0,0,0,0,0,0,0,<20,55000-75000,Less than 9th grade,3819.045698,4062.965171,6.386922082,46.491284,0,ONE OR LESS,1,OTHER,1,0,11,Fixed Price 36kW,NONE,
30,31,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,6002.504409,3594.651359,-40.11414046,66.130877,0,ONE OR LESS,1,CLUSTER4,1,1,9,Peak/Off-Peak 30kW,NONE,
31,32,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,11168.35158,10734.64787,-3.883327874,153.626502,0,ONE OR LESS,1,OTHER,1,1,14,Fixed Price 12kW,NONE,
32,33,0,0,0,0,0,0,0,0,<20,55000-75000,Less than 9th grade,19121.4516,26518.66316,38.68540796,194.058746,0,ONE OR LESS,1,CLUSTER3,0,0,2,Peak/Off-Peak 24kW,NONE,
33,34,0,1,1,1,1,0,0,0,<20,55000-75000,Less than 9th grade,14431.99827,10172.17175,-29.51653985,181.150334,4,FOUR OR MORE,1,CLUSTER6,1,0,2,Peak/Off-Peak 24kW,NONE,
34,35,0,1,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,6964.97905,6434.09107,-7.622248053,82.313514,2,TWO OR THREE,1,OTHER,0,0,4,Fixed Price 30kW,NONE,
35,36,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,8269.85511,5473.09522,-33.81872902,107.025143,0,ONE OR LESS,1,CLUSTER4,0,0,12,Peak/Off-Peak 36kW,NONE,
36,37,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,9103.200391,11427.47882,25.53254162,122.367617,0,ONE OR LESS,1,CLUSTER3,0,0,11,Fixed Price 36kW,NONE,
37,38,0,0,1,0,1,0,0,0,<20,55000-75000,Less than 9th grade,15398.03212,16096.51186,4.536162378,185.517462,2,TWO OR THREE,1,CLUSTER1,0,0,11,Fixed Price 36kW,NONE,
38,39,0,0,0,0,1,1,0,0,<20,55000-75000,Less than 9th grade,7015.344934,10099.79851,43.96724046,83.23576,2,TWO OR THREE,1,CLUSTER3,0,0,7,Fixed Price 18kW,NONE,
39,40,0,1,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,18151.42415,12856.44475,-29.17115129,192.701463,2,TWO OR THREE,1,CLUSTER6,0,1,2,Peak/Off-Peak 24kW,NONE,
40,41,0,0,0,1,1,0,0,0,<20,55000-75000,Less than 9th grade,10873.0643,9182.279865,-15.55021095,149.860952,2,TWO OR THREE,1,CLUSTER4,0,0,9,Peak/Off-Peak 30kW,NONE,
41,42,0,0,0,1,1,1,0,0,<20,55000-75000,Less than 9th grade,10161.42836,8759.236659,-13.79915944,139.795461,3,TWO OR THREE,1,OTHER,0,0,1,Fixed Price 6kW,NONE,
42,43,0,1,0,0,1,1,0,0,<20,55000-75000,Less than 9th grade,7186.248814,5961.546213,-17.04230723,86.401143,3,TWO OR THREE,1,CLUSTER4,0,0,10,Peak/Off-Peak 9kW,NONE,
43,44,0,0,0,0,1,0,0,0,<20,40000-55000,Less than 9th grade,12867.74949,15465.38256,20.18715916,170.869833,1,ONE OR LESS,1,CLUSTER3,0,0,12,Peak/Off-Peak 36kW,NONE,
44,45,0,0,1,0,0,0,0,0,<20,0-40000,Less than 9th grade,4899.681058,4249.437584,-13.2711388,52.83565,1,ONE OR LESS,1,OTHER,0,1,8,Fixed Price 3kW,NONE,
45,46,0,0,1,0,1,0,0,0,<20,55000-75000,Less than 9th grade,15698.62003,14416.48792,-8.167164423,186.634901,2,TWO OR THREE,1,CLUSTER1,0,0,12,Peak/Off-Peak 36kW,NONE,
46,47,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,5802.990116,7308.63328,25.94598877,63.23961,0,ONE OR LESS,1,CLUSTER3,0,1,12,Peak/Off-Peak 36kW,NONE,
47,48,0,0,0,0,1,1,0,0,<20,40000-55000,Less than 9th grade,6506.102616,5207.660023,-19.9573027,74.204382,2,TWO OR THREE,1,CLUSTER4,0,0,7,Fixed Price 18kW,NONE,
48,49,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,11202.68908,11384.4915,1.622846253,154.048827,0,ONE OR LESS,1,OTHER,0,0,2,Peak/Off-Peak 24kW,NONE,
49,50,0,1,0,1,1,0,0,0,<20,55000-75000,Less than 9th grade,10549.56947,9430.912501,-10.60381632,145.458764,3,TWO OR THREE,1,OTHER,0,0,7,Fixed Price 18kW,NONE,
50,51,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,17093.55762,14786.94099,-13.49407,190.646925,0,ONE OR LESS,1,CLUSTER1,0,0,13,Peak/Off-Peak 18kW,NONE,
51,52,0,0,0,0,1,1,0,0,<20,40000-55000,Less than 9th grade,9983.527209,10903.44155,9.21432197,137.062965,2,TWO OR THREE,1,OTHER,0,1,12,Peak/Off-Peak 36kW,NONE,
52,53,0,0,0,1,1,0,0,0,<20,55000-75000,Less than 9th grade,10445.23612,13984.43052,33.88333552,143.977139,2,TWO OR THREE,1,CLUSTER3,0,1,6,Peak/Off-Peak 15kW,NONE,
53,54,0,0,0,0,1,1,0,0,<20,40000-55000,Less than 9th grade,5585.010185,7342.262561,31.46372733,60.310554,2,TWO OR THREE,1,CLUSTER3,0,0,3,Peak/Off-Peak 6kW,NONE,
54,55,0,1,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,8905.69144,8000.536922,-10.16377587,118.833071,2,TWO OR THREE,1,OTHER,1,1,13,Peak/Off-Peak 18kW,NONE,
55,56,0,0,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,4199.802909,3652.987998,-13.02001363,48.025179,1,ONE OR LESS,1,OTHER,0,0,14,Fixed Price 12kW,NONE,
56,57,0,0,0,0,0,0,0,0,<20,55000-75000,Less than 9th grade,7509.204486,8252.917851,9.904023341,92.496683,0,ONE OR LESS,1,OTHER,0,0,12,Peak/Off-Peak 36kW,NONE,
57,58,0,0,0,0,1,0,0,0,<20,40000-55000,Less than 9th grade,11623.22277,14042.92033,20.81778529,158.962409,1,ONE OR LESS,1,CLUSTER3,0,1,2,Peak/Off-Peak 24kW,NONE,
58,59,0,0,0,0,1,1,0,0,<20,40000-55000,Less than 9th grade,5989.592225,6806.203538,13.6338382,65.938003,2,TWO OR THREE,1,OTHER,0,0,9,Peak/Off-Peak 30kW,NONE,
59,60,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,11945.40672,12984.08454,8.695206822,162.410837,0,ONE OR LESS,1,CLUSTER1,0,0,8,Fixed Price 3kW,NONE,
60,61,0,0,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,6392.749191,4261.491913,-33.33866564,72.300744,1,ONE OR LESS,1,CLUSTER4,0,0,15,Fixed Price 24kW,NONE,
61,62,0,0,0,0,0,0,0,0,<20,55000-75000,Less than 9th grade,17021.9261,17243.05465,1.29908066,190.481044,0,ONE OR LESS,1,CLUSTER1,0,1,13,Peak/Off-Peak 18kW,NONE,
62,63,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,12063.46709,20346.43734,68.66160606,163.608006,0,ONE OR LESS,1,CLUSTER3,0,0,9,Peak/Off-Peak 30kW,NONE,
63,64,0,1,0,1,1,1,0,0,<20,40000-55000,Less than 9th grade,9323.422031,8984.487236,-3.635304654,126.214562,4,FOUR OR MORE,1,OTHER,0,0,10,Peak/Off-Peak 9kW,NONE,
64,65,0,1,0,1,1,0,0,0,<20,55000-75000,Less than 9th grade,10589.67622,10700.12903,1.043023485,146.020302,3,TWO OR THREE,1,OTHER,0,1,15,Fixed Price 24kW,NONE,
65,66,0,0,0,0,1,1,0,0,<20,40000-55000,Less than 9th grade,5998.484707,7380.645631,23.04183459,66.070751,2,TWO OR THREE,1,CLUSTER3,0,0,7,Fixed Price 18kW,NONE,
66,67,0,0,0,0,0,0,0,0,<20,55000-75000,Less than 9th grade,12729.79779,17539.4256,37.78243684,169.730396,0,ONE OR LESS,1,CLUSTER3,0,0,16,Peak/Off-Peak 12kW,NONE,
67,68,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,10525.58506,11152.28681,5.954079953,145.120828,0,ONE OR LESS,1,OTHER,0,1,16,Peak/Off-Peak 12kW,NONE,
68,69,0,0,1,0,0,0,0,0,<20,55000-75000,Less than 9th grade,17211.99954,14510.32345,-15.69646852,190.913038,1,ONE OR LESS,1,CLUSTER6,0,0,1,Fixed Price 6kW,NONE,
69,70,0,1,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,8272.054591,8128.188125,-1.739186612,107.066839,2,TWO OR THREE,1,OTHER,0,0,10,Peak/Off-Peak 9kW,NONE,
70,71,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,8626.22462,12390.77674,43.64078477,113.713043,0,ONE OR LESS,1,CLUSTER3,0,0,10,Peak/Off-Peak 9kW,NONE,
71,72,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,15580.25409,20087.79906,28.93113902,186.207166,0,ONE OR LESS,1,CLUSTER3,0,0,14,Fixed Price 12kW,NONE,
72,73,0,0,0,1,1,1,0,0,<20,55000-75000,Less than 9th grade,9492.503742,10956.79064,15.42571842,129.094785,3,TWO OR THREE,1,OTHER,0,0,10,Peak/Off-Peak 9kW,NONE,
73,74,0,0,0,0,1,1,0,0,<20,40000-55000,Less than 9th grade,8989.593221,11064.17321,23.07757357,120.343734,2,TWO OR THREE,1,CLUSTER3,0,0,11,Fixed Price 36kW,NONE,
74,75,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,12927.77865,11836.15757,-8.443995752,171.352625,0,ONE OR LESS,1,CLUSTER1,0,0,16,Peak/Off-Peak 12kW,NONE,
75,76,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,14595.02288,18439.75827,26.34278426,181.97878,0,ONE OR LESS,1,CLUSTER3,0,1,16,Peak/Off-Peak 12kW,NONE,
76,77,0,0,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,4964.398414,3423.291295,-31.04317967,53.423828,1,ONE OR LESS,1,CLUSTER4,0,0,15,Fixed Price 24kW,NONE,
77,78,0,0,0,0,1,1,0,0,<20,55000-75000,Less than 9th grade,8154.085736,14286.00975,75.20063208,104.82503,2,TWO OR THREE,1,CLUSTER3,1,0,16,Peak/Off-Peak 12kW,NONE,
78,79,0,0,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,5765.767349,5376.474258,-6.751800193,62.721936,1,ONE OR LESS,1,OTHER,0,0,8,Fixed Price 3kW,NONE,
79,80,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,8693.614114,9945.34573,14.39828821,114.959164,0,ONE OR LESS,1,OTHER,0,0,10,Peak/Off-Peak 9kW,NONE,
80,81,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,7247.282248,7715.82275,6.465051118,87.543276,0,ONE OR LESS,1,OTHER,1,0,2,Peak/Off-Peak 24kW,NONE,
81,82,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,12228.76992,8995.105593,-26.44308747,165.22592,0,ONE OR LESS,1,CLUSTER6,0,0,13,Peak/Off-Peak 18kW,NONE,
82,83,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,12627.98448,27867.47607,120.6803161,168.862185,0,ONE OR LESS,1,CLUSTER3,0,0,15,Fixed Price 24kW,NONE,
83,84,0,1,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,9363.155686,7094.672563,-24.22776251,126.897325,2,TWO OR THREE,1,CLUSTER4,0,0,1,Fixed Price 6kW,NONE,
84,85,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,8706.259382,5272.312545,-39.4422758,115.192224,0,ONE OR LESS,1,CLUSTER4,0,1,12,Peak/Off-Peak 36kW,NONE,
85,86,0,1,0,0,1,0,0,0,<20,40000-55000,Less than 9th grade,11165.18353,8497.303727,-23.89463456,153.587375,2,TWO OR THREE,1,CLUSTER4,0,0,8,Fixed Price 3kW,NONE,
86,87,0,0,0,0,1,1,0,0,<20,40000-55000,Less than 9th grade,8390.758143,13536.31123,61.32405439,109.310336,2,TWO OR THREE,1,CLUSTER3,1,0,13,Peak/Off-Peak 18kW,NONE,
87,88,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,6499.539975,8696.337599,33.7992786,74.09295,0,ONE OR LESS,1,CLUSTER3,0,0,6,Peak/Off-Peak 15kW,NONE,
88,89,0,1,0,0,1,1,0,0,<20,55000-75000,Less than 9th grade,9194.313062,7853.473996,-14.58335231,123.971817,3,TWO OR THREE,1,CLUSTER4,0,0,1,Fixed Price 6kW,NONE,
89,90,0,0,0,1,1,1,0,0,<20,40000-55000,Less than 9th grade,7010.23538,9701.738277,38.39390193,83.141962,3,TWO OR THREE,1,CLUSTER3,0,1,14,Fixed Price 12kW,NONE,
90,91,0,0,0,0,1,0,0,0,<20,40000-55000,Less than 9th grade,7018.311888,8559.496867,21.95948262,83.290251,1,ONE OR LESS,1,CLUSTER3,0,0,2,Peak/Off-Peak 24kW,NONE,
91,92,0,0,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,9787.749212,13209.42389,34.95874898,133.959291,1,ONE OR LESS,1,CLUSTER3,0,0,15,Fixed Price 24kW,NONE,
92,93,0,0,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,4926.186103,4522.053477,-8.203762861,53.07353,1,ONE OR LESS,1,OTHER,1,1,7,Fixed Price 18kW,NONE,
93,94,0,0,0,0,0,1,0,0,<20,40000-55000,Less than 9th grade,9836.200897,10889.12251,10.70455579,134.736666,1,ONE OR LESS,1,OTHER,0,1,11,Fixed Price 36kW,NONE,
94,95,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,6905.858722,6765.901828,-2.026639983,81.237929,0,ONE OR LESS,1,OTHER,0,0,15,Fixed Price 24kW,NONE,
95,96,0,1,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,5777.972834,6424.572216,11.19076535,62.890907,1,ONE OR LESS,1,OTHER,0,0,13,Peak/Off-Peak 18kW,NONE,
96,97,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,13179.41254,13733.1706,4.201690009,173.292898,0,ONE OR LESS,1,CLUSTER1,0,0,9,Peak/Off-Peak 30kW,NONE,
97,98,0,0,0,0,1,1,0,0,<20,55000-75000,Less than 9th grade,5153.746768,5340.345061,3.620633714,55.287481,2,TWO OR THREE,1,OTHER,0,1,1,Fixed Price 6kW,NONE,
98,99,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,13245.03956,15582.66109,17.64903396,173.777302,0,ONE OR LESS,1,CLUSTER3,0,1,8,Fixed Price 3kW,NONE,
99,100,0,0,0,0,1,1,0,0,<20,55000-75000,Less than 9th grade,7939.015223,10815.59741,36.23348874,100.71671,2,TWO OR THREE,1,CLUSTER3,0,0,1,Fixed Price 6kW,NONE,
100,101,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,5929.291351,8757.773501,47.7035447,65.047614,0,ONE OR LESS,1,CLUSTER3,1,0,8,Fixed Price 3kW,NONE,
101,102,0,0,0,0,1,1,0,0,<20,40000-55000,Less than 9th grade,2949.736033,2837.107969,-3.818242132,44.977433,2,TWO OR THREE,1,OTHER,1,0,14,Fixed Price 12kW,NONE,
102,103,0,0,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,3903.199919,2943.046351,-24.59913886,46.773191,1,ONE OR LESS,1,CLUSTER4,0,0,8,Fixed Price 3kW,NONE,
103,104,0,0,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,11600.42989,15651.94463,34.92555688,158.708206,1,ONE OR LESS,1,CLUSTER3,0,0,2,Peak/Off-Peak 24kW,NONE,
104,105,0,1,0,1,1,0,0,0,<20,55000-75000,Less than 9th grade,11219.40297,11501.88695,2.517816507,154.253231,3,TWO OR THREE,1,OTHER,0,0,12,Peak/Off-Peak 36kW,NONE,
105,106,0,1,0,0,1,1,0,0,<20,40000-55000,Less than 9th grade,6240.793053,5608.063291,-10.1386115,69.823532,3,TWO OR THREE,1,OTHER,0,0,16,Peak/Off-Peak 12kW,NONE,
106,107,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,8501.236548,7064.151037,-16.90442917,111.384779,0,ONE OR LESS,1,CLUSTER4,1,0,2,Peak/Off-Peak 24kW,NONE,
107,108,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,8304.619902,7579.393776,-8.732803362,107.683674,0,ONE OR LESS,1,OTHER,0,0,2,Peak/Off-Peak 24kW,NONE,
108,109,0,0,0,0,1,1,0,0,<20,55000-75000,Less than 9th grade,12617.31735,14560.02151,15.39712529,168.769861,2,TWO OR THREE,1,CLUSTER1,0,1,14,Fixed Price 12kW,NONE,
109,110,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,9161.052455,14763.23552,61.15217757,123.388216,0,ONE OR LESS,1,CLUSTER3,0,1,4,Fixed Price 30kW,NONE,
110,111,0,1,0,0,1,1,0,0,<20,55000-75000,Less than 9th grade,9579.356467,8303.354047,-13.3203355,130.54807,3,TWO OR THREE,1,OTHER,0,0,8,Fixed Price 3kW,NONE,
111,112,0,0,0,1,0,1,0,0,<20,55000-75000,Less than 9th grade,10970.02691,12659.08137,15.39699468,151.123949,2,TWO OR THREE,1,OTHER,0,0,4,Fixed Price 30kW,NONE,
112,113,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,12541.19208,10042.20492,-19.92623304,168.10342,0,ONE OR LESS,1,CLUSTER6,0,1,16,Peak/Off-Peak 12kW,NONE,
113,114,0,1,0,0,1,1,0,0,<20,55000-75000,Less than 9th grade,9261.623564,7926.319311,-14.41760447,125.145621,3,TWO OR THREE,1,CLUSTER4,0,0,2,Peak/Off-Peak 24kW,NONE,
114,115,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,15691.04534,16496.64991,5.134167626,186.607994,0,ONE OR LESS,1,CLUSTER1,0,0,4,Fixed Price 30kW,NONE,
115,116,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,9170.683407,8248.33938,-10.05752773,123.557444,0,ONE OR LESS,1,OTHER,0,0,7,Fixed Price 18kW,NONE,
116,117,0,0,0,0,1,1,0,0,<20,40000-55000,Less than 9th grade,6627.155411,5849.861125,-11.72892799,76.28513,2,TWO OR THREE,1,OTHER,0,0,9,Peak/Off-Peak 30kW,NONE,
117,118,0,1,0,1,1,0,0,0,<20,55000-75000,Less than 9th grade,13559.69902,9682.297153,-28.59504375,175.98088,3,TWO OR THREE,1,CLUSTER6,0,0,8,Fixed Price 3kW,NONE,
118,119,0,1,0,0,1,0,0,0,<20,55000-75000,Less than 9th grade,7910.147305,7568.691135,-4.316685352,100.164017,2,TWO OR THREE,1,OTHER,0,0,14,Fixed Price 12kW,NONE,
119,120,0,0,0,0,1,0,0,0,<20,40000-55000,Less than 9th grade,12982.32329,11769.62975,-9.341113396,171.784566,1,ONE OR LESS,1,CLUSTER1,1,0,5,Fixed Price 9kW,NONE,
120,121,0,0,0,0,1,1,0,0,<20,40000-55000,Less than 9th grade,6811.060624,8424.136317,23.6831792,79.530286,2,TWO OR THREE,1,CLUSTER3,0,0,1,Fixed Price 6kW,NONE,
121,122,0,1,1,0,0,0,0,0,<20,0-40000,Less than 9th grade,3201.283698,3086.305582,-3.591625324,45.208339,2,TWO OR THREE,1,OTHER,0,0,12,Peak/Off-Peak 36kW,NONE,
122,123,0,0,0,1,1,0,0,0,<20,40000-55000,Less than 9th grade,11534.05817,16346.94243,41.72758789,157.960154,2,TWO OR THREE,1,CLUSTER3,0,1,12,Peak/Off-Peak 36kW,NONE,
123,124,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,7541.135559,7956.1057,5.502754032,93.104929,0,ONE OR LESS,1,OTHER,0,0,15,Fixed Price 24kW,NONE,
124,125,0,1,0,0,0,0,0,0,<20,55000-75000,Less than 9th grade,6608.190063,6364.968744,-3.68060417,75.956062,1,ONE OR LESS,1,OTHER,0,0,16,Peak/Off-Peak 12kW,NONE,
125,126,0,0,1,0,1,1,0,0,<20,55000-75000,Less than 9th grade,8249.515435,9481.776216,14.93737166,106.639367,3,TWO OR THREE,1,OTHER,0,0,9,Peak/Off-Peak 30kW,NONE,
